acousticness,artist_id,artist_names,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,popularity,release_date,song_title (censored),speechiness,tempo,valence,year
0.0664,96379,['Boyz II Men'],0.64,351467,0.427,0,R&B;,0,5,0.0579,-9.29,0,71,4/30/1991,End Of The Road,0.0241,149.703,0.529,1991
0.0143,96379,['Boyz II Men'],0.754,235227,0.857,0,R&B;,2.14E-05,2,0.278,-9.699,1,56,4/30/1991,Motownphilly,0.0605,114.144,0.785,1991
0.197,96379,['Boyz II Men'],0.644,263960,0.663,0,R&B;,0,6,0.302,-12.847,0,51,4/30/1991,Please Don't Go,0.0454,135.622,0.743,1991
0.92,96379,['Boyz II Men'],0.195,168667,0.0981,0,R&B;,0,4,0.152,-17.76,1,47,4/30/1991,It's So Hard To Say Goodbye To *********,0.0359,72.747,0.276,1991
0.792,96379,['Boyz II Men'],0.537,169840,0.184,0,R&B;,0,9,0.126,-15.886,1,45,4/30/1991,In The Still Of The Nite (I'll Remember),0.0381,77.817,0.217,1991
0.181,96379,['Boyz II Men'],0.754,228840,0.468,0,R&B;,0,2,0.247,-13.942,1,37,4/30/1991,Uhh Ahh,0.101,126.001,0.688,1991
0.00961,92942,['Chic'],0.85,501467,0.665,0,R&B;,0.483,10,0.0885,-9.404,0,39,1991,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",0.0887,123.166,0.718,1991
0.0378,92942,['Chic'],0.764,507000,0.816,0,R&B;,0.0164,5,0.0775,-8.017,1,51,1991,Everybody Dance - *** Mix,0.109,128.541,0.85,1991
0.212,92942,['Chic'],0.823,335067,0.51,0,R&B;,0.806,0,0.11,-11.235,1,53,1991,Soup for One,0.0352,114.83,0.798,1991
0.249,115544,['Christopher Williams'],0.788,303707,0.745,0,R&B;,7.66E-06,6,0.25,-9.342,1,55,3/5/1991,I'm Dreamin',0.0581,110.133,0.688,1991
0.00549,776371,['Color Me Badd'],0.551,236947,0.591,0,R&B;,6.55E-06,6,0.0416,-8.404,0,57,3/5/1991,I Wanna **** You Up - Single Mix,0.12,201.799,0.474,1991
0.00549,776371,['Color Me Badd'],0.551,236947,0.591,0,R&B;,6.55E-06,6,0.0416,-8.404,0,59,7/23/1991,I Wanna **** You Up - Single Mix,0.12,201.799,0.474,1991
0.0347,776371,['Color Me Badd'],0.807,211493,0.75,0,R&B;,0.00017,2,0.149,-8.29,1,52,7/23/1991,All 4 Love,0.0315,106.389,0.797,1991
0.243,776371,['Color Me Badd'],0.683,289200,0.476,0,R&B;,0,3,0.0786,-9.995,0,44,7/23/1991,I Adore Mi Amor,0.027,91.989,0.725,1991
0.000779,132856,['Crystal Waters'],0.484,451827,0.641,0,R&B;,0.278,5,0.0738,-12.612,1,52,1/1/1991,Gypsy Woman ****** Homeless) - ******** Boy **** To The Bone Mix,0.0377,119.981,0.181,1991
0.000165,132856,['Crystal Waters'],0.645,229573,0.779,0,R&B;,0.214,9,0.0941,-10.529,0,54,1/1/1991,Gypsy Woman ****** Homeless) - Radio Edit,0.0315,120.007,0.453,1991
0.0441,594665,['Diana Ross'],0.491,250800,0.414,0,R&B;,0,8,0.134,-11.617,1,42,1/1/1991,When You Tell Me That You Love Me,0.0298,77.947,0.211,1991
0.565,594665,['Diana Ross'],0.358,250267,0.21,0,R&B;,8.49E-06,0,0.11,-15.283,1,40,1/1/1991,If We Hold On Together,0.0266,141.748,0.111,1991
0.493,649435,['Gerald Levert'],0.741,345200,0.511,0,R&B;,0,9,0.0808,-11.797,1,45,10/11/1991,Baby Hold on to Me (feat. Eddie Levert),0.0401,119.38,0.752,1991
0.00349,651156,['Guy'],0.716,210600,0.574,0,R&B;,0.000591,11,0.351,-11.506,0,36,3/5/1991,New **** City,0.0412,108.716,0.597,1991
0.452,94224,['Ike & Tina Turner'],0.362,220467,0.683,0,R&B;,4.54E-05,3,0.124,-7.301,1,40,1/1/1991,River **** - Mountain High - Remastered Version ****,0.0392,80.738,0.43,1991
0.362,94224,['Ike & Tina Turner'],0.695,189000,0.54,0,R&B;,0.0423,1,0.0767,-12.647,1,30,1/1/1991,**** Tonk Women - Live,0.0456,112.053,0.983,1991
0.109,94224,['Ike & Tina Turner'],0.753,178893,0.762,0,R&B;,0.832,7,0.0264,-11.589,1,53,1/1/1991,Nutbush City Limits - Remastered,0.0298,76.282,0.945,1991
0.495,94224,['Ike & Tina Turner'],0.611,297133,0.396,0,R&B;,1.40E-06,2,0.065,-13.741,1,50,1/1/1991,Proud Mary,0.178,99.71,0.754,1991
0.155,94224,['Ike & Tina Turner'],0.666,207200,0.569,0,R&B;,2.44E-05,8,0.386,-13.856,1,43,1/1/1991,River ***** Mountain High,0.116,88.135,0.743,1991
0.00307,101946,['Isaac Hayes'],0.672,197000,0.347,0,R&B;,0.198,5,0.281,-15.645,0,30,1991,Do Your Thing,0.0489,151.12,0.85,1991
0.0462,101946,['Isaac Hayes'],0.313,273067,0.34,0,R&B;,0.000465,6,0.0735,-15.315,1,53,1991,Walk On By,0.0504,145.955,0.407,1991
0.589,128099,['James Brown'],0.902,195533,0.495,0,R&B;,0.0878,9,0.133,-11.067,0,33,1991,Make It Funky,0.148,97.406,0.834,1991
0.142,128099,['James Brown'],0.946,196160,0.643,0,R&B;,0.419,7,0.0698,-7.27,1,30,1991,****** Popcorn - Single Version,0.0689,116.423,0.89,1991
0.201,128099,['James Brown'],0.747,190707,0.514,0,R&B;,0.131,0,0.215,-12.025,1,30,1991,Give It Up Or Turnit A Loose,0.0546,110.504,0.791,1991
0.288,128099,['James Brown'],0.853,166533,0.529,0,R&B;,0.0118,3,0.0452,-9.692,1,61,1991,Say It Loud - I'm Black And I'm Proud,0.22,115.131,0.934,1991
0.933,128099,['James Brown'],0.683,149560,0.265,0,R&B;,0,0,0.71,-12.735,1,56,1991,Try Me,0.0293,102.08,0.647,1991
0.493,128099,['James Brown'],0.746,125707,0.702,0,R&B;,0.0398,4,0.0964,-8.099,1,54,1991,Papa's Got A Brand New Bag,0.0766,129.434,0.889,1991
0.225,128099,['James Brown'],0.883,250200,0.664,0,R&B;,2.30E-06,4,0.941,-10.395,1,53,1991,Get Up **** That Thing,0.411,118.104,0.8,1991
0.665,128099,['James Brown'],0.646,167067,0.35,0,R&B;,0.000122,8,0.0472,-11.539,0,52,1991,"It's A Man's, Man's, Man's World",0.0486,80.882,0.552,1991
0.248,128099,['James Brown'],0.835,315840,0.692,0,R&B;,0.000161,10,0.295,-6.514,0,51,1991,Get Up (I Feel Like Being A) **** Machine - Pt. * & *,0.114,108.296,0.829,1991
0.18,128099,['James Brown'],0.838,316333,0.616,0,R&B;,7.17E-06,10,0.193,-8.351,0,42,1/1/1991,Get Up (I Feel Like Being A) **** Machine,0.0711,107.695,0.848,1991
0.0384,128099,['James Brown'],0.899,214933,0.764,0,R&B;,0,7,0.0354,-8.204,1,42,1991,Get On The Good ****,0.137,108.445,0.747,1991
0.229,128099,['James Brown'],0.891,157667,0.673,0,R&B;,0.132,5,0.159,-8.703,1,41,1991,I Got The Feelin',0.0792,128.222,0.886,1991
0.193,128099,['James Brown'],0.835,263293,0.711,0,R&B;,8.25E-05,0,0.168,-9.676,1,38,1991,Papa Don't Take No Mess,0.0546,96.69,0.672,1991
0.736,128099,['James Brown'],0.696,421307,0.676,0,R&B;,0.471,11,0.126,-10.798,1,38,1/1/1991,Funky *******,0.213,91.043,0.485,1991
0.322,128099,['James Brown'],0.729,197933,0.28,0,R&B;,0.000202,2,0.0783,-13.452,0,38,1/1/1991,It's A Man's World,0.0366,102.869,0.25,1991
0.155,128099,['James Brown'],0.876,238400,0.671,0,R&B;,0.00857,11,0.0995,-10.981,0,36,1/1/1991,Funky President (People It's Bad),0.162,105.807,0.841,1991
0.911,128099,['James Brown'],0.673,151627,0.243,0,R&B;,0,0,0.286,-13.868,1,36,1/1/1991,Try Me,0.0306,101.531,0.644,1991
0.292,128099,['James Brown'],0.738,128173,0.541,0,R&B;,1.15E-05,4,0.0861,-9.508,1,36,1/1/1991,Papa's Got A Brand New Bag,0.09,127.942,0.925,1991
0.199,128099,['James Brown'],0.867,458933,0.656,0,R&B;,0.00018,6,0.793,-9.854,1,35,1991,The Payback,0.257,97.943,0.771,1991
0.219,128099,['James Brown'],0.821,211093,0.641,0,R&B;,0.00783,1,0.223,-9.095,1,35,1991,***** Train - Single Version,0.107,130.588,0.916,1991
0.0408,128099,['James Brown'],0.874,171200,0.406,0,R&B;,0.072,7,0.0558,-10.053,1,34,1991,Cold Sweat,0.0388,111.775,0.583,1991
0.149,324854,['Jermaine Jackson'],0.742,300440,0.593,0,R&B;,3.01E-06,1,0.0249,-12.737,1,34,1/1/1991,You Like Me Don't You,0.0704,89.826,0.86,1991
0.00113,135152,['Jodeci'],0.721,270960,0.726,0,R&B;,0,7,0.282,-12.769,1,29,5/28/1991,X's We Share,0.0603,103.045,0.727,1991
0.0348,135152,['Jodeci'],0.723,350933,0.797,0,R&B;,0,6,0.465,-11.597,0,26,5/28/1991,My Phone,0.0592,111.977,0.63,1991
0.0706,135152,['Jodeci'],0.657,312040,0.369,0,R&B;,0,7,0.494,-13.153,0,53,5/28/1991,Stay,0.037,129.965,0.619,1991
0.136,135152,['Jodeci'],0.707,320360,0.5,0,R&B;,0,9,0.237,-15.198,0,53,5/28/1991,Forever My Lady,0.0387,117.997,0.77,1991
0.223,135152,['Jodeci'],0.609,276267,0.57,0,R&B;,0,7,0.366,-14.773,1,50,5/28/1991,Come & Talk To Me,0.0912,172.095,0.84,1991
0.0932,135152,['Jodeci'],0.642,244573,0.477,0,R&B;,0,0,0.236,-12.898,0,42,5/28/1991,U And I,0.039,129.99,0.787,1991
0.0894,135152,['Jodeci'],0.697,261360,0.6,0,R&B;,0,0,0.0549,-13.632,0,40,5/28/1991,I'm Still Waiting,0.0364,127.009,0.793,1991
0.0193,135152,['Jodeci'],0.753,284800,0.737,0,R&B;,0,2,0.632,-9.485,1,33,5/28/1991,Gotta Love,0.113,116.858,0.365,1991
0.327,253734,['Johnny Gill'],0.567,239227,0.585,0,R&B;,2.53E-06,0,0.12,-11.501,0,29,3/5/1991,I'm Still Waiting,0.0269,160.211,0.442,1991
0.484,359559,['Karyn White'],0.68,247160,0.941,0,R&B;,7.43E-05,1,0.0656,-7.509,0,36,1991,Romantic,0.0374,110.264,0.823,1991
0.261,359559,['Karyn White'],0.673,275467,0.888,0,R&B;,0.000134,1,0.234,-7.056,1,31,1991,The Way I Feel About You,0.0364,110.772,0.801,1991
0.0161,767016,['Keith Sweat'],0.718,327973,0.524,0,R&B;,6.10E-06,5,0.195,-10.215,0,33,1991,Why Me Baby?,0.0282,132.782,0.345,1991
0.00441,767016,['Keith Sweat'],0.678,317533,0.455,0,R&B;,0,9,0.212,-13.664,0,32,1991,Give Me What I Want,0.0289,116.837,0.484,1991
0.221,767016,['Keith Sweat'],0.632,229067,0.387,0,R&B;,0,5,0.0636,-15.133,1,31,1991,Ten Commandments of Love,0.0376,117.151,0.403,1991
0.0371,767016,['Keith Sweat'],0.667,246373,0.899,0,R&B;,4.12E-06,11,0.541,-7.084,0,32,1991,Keep It Comin',0.0809,101.477,0.738,1991
0.285,767016,['Keith Sweat'],0.658,305973,0.524,0,R&B;,0,3,0.123,-10.786,0,28,3/5/1991,(There You Go) Tellin' Me No *****,0.0323,112.003,0.66,1991
0.342,767016,['Keith Sweat'],0.603,309027,0.467,0,R&B;,4.63E-06,8,0.0589,-13.416,1,36,1991,I Want to Love You Down,0.0356,120.349,0.348,1991
0.226,767016,['Keith Sweat'],0.652,309467,0.523,0,R&B;,1.54E-06,3,0.172,-11.945,0,35,1991,(There You Go) Tellin' Me No *****,0.0363,111.998,0.667,1991
0.165,767016,['Keith Sweat'],0.664,300840,0.57,0,R&B;,0,0,0.309,-11.544,1,35,1991,I'm Going for Mine,0.0457,138.875,0.334,1991
0.212,81079,['Keith Washington'],0.646,308533,0.701,0,R&B;,0,11,0.412,-8.673,1,35,4/16/1991,Are You Still in Love with Me,0.054,141.806,0.793,1991
0.184,81079,['Keith Washington'],0.494,260013,0.495,0,R&B;,0,7,0.127,-8.855,1,46,4/16/1991,Kissing You,0.0312,126.515,0.233,1991
0.409,103162,['Kim Weston'],0.607,155427,0.694,0,R&B;,4.39E-06,5,0.131,-6.712,1,35,1/1/1991,Helpless - Mono Version,0.0366,136.458,0.861,1991
0.143,835085,['Lisa Fischer'],0.634,319880,0.577,0,R&B;,1.78E-05,4,0.183,-7.579,0,44,4/9/1991,How Can I Ease the Pain,0.0303,116.212,0.4,1991
0.607,302106,['Lisa Stansfield'],0.583,317373,0.338,0,R&B;,9.86E-06,7,0.0708,-13.63,0,34,1991,All Woman,0.064,141.889,0.378,1991
0.00189,829125,['Loleatta Holloway'],0.711,269307,0.951,0,R&B;,0.366,1,0.0229,-8.406,1,60,1991,Good Vibrations,0.0537,121.656,0.903,1991
0.0174,208076,['Luther Vandross'],0.602,402413,0.911,0,R&B;,3.47E-05,0,0.0735,-6.615,1,41,4/26/1991,Power of Love / Love Power,0.0387,92.357,0.851,1991
0.482,208076,['Luther Vandross'],0.632,275133,0.576,0,R&B;,0,7,0.151,-8.345,1,36,4/26/1991,Don't Want to Be a Fool,0.0234,95.321,0.323,1991
0.393,262255,['Mariah Carey'],0.532,277093,0.456,0,R&B;,1.87E-06,9,0.138,-9.673,1,40,9/17/1991,If It's Over,0.0305,92.759,0.2,1991
0.331,262255,['Mariah Carey'],0.47,265733,0.419,0,R&B;,7.59E-06,3,0.148,-11.097,1,38,9/17/1991,And You Don't Remember,0.0355,148.24,0.183,1991
0.428,262255,['Mariah Carey'],0.495,334933,0.435,0,R&B;,0.00367,3,0.203,-12.211,1,36,9/17/1991,Till the End of Time,0.0357,129.545,0.118,1991
0.159,262255,['Mariah Carey'],0.415,252267,0.419,0,R&B;,0.00113,11,0.106,-11.759,1,38,9/17/1991,So Blessed,0.032,179.538,0.105,1991
0.043,262255,['Mariah Carey'],0.733,304507,0.785,0,R&B;,0.00201,0,0.113,-8.249,0,35,9/17/1991,You're So Cold,0.0371,110.002,0.601,1991
0.271,262255,['Mariah Carey'],0.727,276333,0.754,0,R&B;,0.013,2,0.674,-8.747,0,35,9/17/1991,To Be Around You,0.0325,109.968,0.916,1991
0.0411,262255,['Mariah Carey'],0.741,248093,0.752,0,R&B;,0.0012,9,0.0233,-7.009,0,62,9/17/1991,Emotions,0.0359,114.851,0.942,1991
0.591,262255,['Mariah Carey'],0.477,266560,0.533,0,R&B;,0.00685,10,0.139,-11.049,1,50,9/17/1991,Can't Let Go,0.0408,162.368,0.18,1991
0.0067,262255,['Mariah Carey'],0.811,307000,0.53,0,R&B;,0.0285,2,0.0801,-8.537,0,47,9/17/1991,Make It Happen,0.0355,107.853,0.75,1991
0.556,467203,['Michael Jackson'],0.752,356733,0.647,0,R&B;,0,1,0.0869,-5.547,1,44,11/13/1991,Keep the Faith,0.0484,143.238,0.672,1991
0.153,467203,['Michael Jackson'],0.831,239227,0.921,0,R&B;,0.00213,5,0.305,-2.383,0,69,11/13/1991,Remember the Time,0.0581,108.002,0.794,1991
0.172,467203,['Michael Jackson'],0.518,254933,0.9,0,R&B;,0.0315,9,0.0713,-3.748,1,67,11/13/1991,Black or White,0.0933,115.029,0.872,1991
0.537,467203,['Michael Jackson'],0.534,384307,0.485,0,R&B;,1.79E-06,9,0.104,-8.045,1,70,11/13/1991,Heal the World,0.0467,80.923,0.102,1991
0.0487,467203,['Michael Jackson'],0.884,338173,0.96,0,R&B;,0.0228,2,0.271,-4.613,1,59,11/13/1991,Jam,0.0721,116.273,0.617,1991
0.117,467203,['Michael Jackson'],0.876,390573,0.782,0,R&B;,0.000721,11,0.149,-3.777,0,58,11/13/1991,In the Closet,0.0685,110.494,0.622,1991
0.0152,467203,['Michael Jackson'],0.862,393307,0.595,0,R&B;,0.000343,5,0.104,-4.655,1,58,11/13/1991,Who Is It,0.121,103.168,0.502,1991
0.152,467203,['Michael Jackson'],0.502,328627,0.855,0,R&B;,0.000493,4,0.106,-3.27,0,58,11/13/1991,Give In to Me,0.0305,86.967,0.338,1991
0.025,467203,['Michael Jackson'],0.943,417733,0.708,0,R&B;,2.33E-05,10,0.0846,-4.686,1,56,11/13/1991,Dangerous,0.116,112.959,0.581,1991
0.82,467203,['Michael Jackson'],0.349,460000,0.432,0,R&B;,0.085,8,0.191,-9.554,1,56,11/13/1991,Will You Be There,0.0384,82.935,0.137,1991
0.89,467203,['Michael Jackson'],0.243,201733,0.186,0,R&B;,0.00271,11,0.097,-12.736,1,52,11/13/1991,Gone Too Soon,0.0332,144.298,0.119,1991
0.13,467203,['Michael Jackson'],0.873,298400,0.973,0,R&B;,0.689,2,0.112,-1.947,1,45,11/13/1991,Can't Let Her Get Away,0.127,108.488,0.582,1991
0.0129,467203,['Michael Jackson'],0.889,323293,0.727,0,R&B;,0.00284,2,0.179,-5.845,1,48,11/13/1991,Why You Wanna Trip on Me,0.0852,109.658,0.51,1991
0.0697,467203,['Michael Jackson'],0.906,219867,0.93,0,R&B;,0,1,0.463,-2.081,1,45,11/13/1991,*** Drives Me Wild,0.208,109.545,0.645,1991
0.0985,898188,['Mint Condition'],0.672,356960,0.52,0,R&B;,1.28E-06,7,0.0365,-9.965,0,57,1/1/1991,Breakin' My Heart (Pretty ***** Eyes),0.0407,137.213,0.551,1991
0.159,898188,['Mint Condition'],0.604,312693,0.493,0,R&B;,1.94E-06,7,0.719,-11.134,1,34,1/1/1991,Forever In Your Eyes,0.0387,139.678,0.408,1991
0.543,74195,['Natalie Cole'],0.581,151827,0.336,0,R&B;,0,7,0.11,-12.103,1,41,1991,L-O-V-E,0.0414,78.394,0.597,1991
0.514,74195,['Natalie Cole'],0.667,181093,0.241,0,R&B;,0.000172,5,0.079,-16.276,1,40,1991,Route 66,0.0428,75.022,0.651,1991
0.499,74195,['Natalie Cole'],0.619,147173,0.479,0,R&B;,0,7,0.637,-12.058,1,33,1991,Orange Colored Sky,0.0653,124.285,0.443,1991
0.88,74195,['Natalie Cole'],0.174,452933,0.136,0,R&B;,4.07E-05,1,0.145,-17.757,1,35,1991,Medley: For Sentimental Reasons / Tenderly / Autumn Leaves,0.0385,74.33,0.0838,1991
0.851,74195,['Natalie Cole'],0.307,210907,0.289,0,R&B;,0.000126,5,0.0798,-13.369,1,63,1991,Unforgettable (Duet with Nat King Cole),0.0281,85.948,0.145,1991
0.867,74195,['Natalie Cole'],0.39,209960,0.0968,0,R&B;,3.58E-06,0,0.0715,-14.966,1,58,1991,Our Love Is Here To Stay,0.0285,68.768,0.135,1991
0.565,74195,['Natalie Cole'],0.235,256960,0.154,0,R&B;,8.27E-05,3,0.102,-16.232,1,56,1991,The Very Thought Of You,0.0322,73.853,0.163,1991
0.125,865016,['New Edition'],0.868,343733,0.529,0,R&B;,0.00496,10,0.275,-13.363,0,31,1/1/1991,Cool It Now,0.0679,116.558,0.727,1991
0.0921,865016,['New Edition'],0.592,310293,0.878,0,R&B;,1.26E-05,5,0.365,-11.461,0,43,1/1/1991,If It Isn't Love,0.0391,97.949,0.764,1991
0.842,414251,['Otis Redding'],0.404,152800,0.242,0,R&B;,0,10,0.2,-15.012,1,36,1991,These Arms Of Mine,0.0311,177.38,0.742,1991
0.177,414251,['Otis Redding'],0.569,200626,0.126,0,R&B;,3.54E-05,9,0.478,-16.028,0,52,1991,Try A Little Tenderness,0.0537,103.073,0.066,1991
0.576,414251,['Otis Redding'],0.499,194506,0.289,0,R&B;,9.18E-05,9,0.562,-9.315,1,33,1991,I've Been Loving You Too Long - To Stop Now,0.0281,139.732,0.145,1991
0.307,17748,['Patti LaBelle'],0.423,294640,0.554,0,R&B;,0.000554,0,0.0681,-8.25,1,32,1/1/1991,When You've Been Blessed (Feels Like Heaven),0.0313,101.877,0.313,1991
0.571,17748,['Patti LaBelle'],0.626,292933,0.637,0,R&B;,2.15E-06,4,0.46,-8.492,0,42,1/1/1991,******** Loves You Baby (You Know Who It Is),0.0367,129.676,0.472,1991
0.353,35338,['Peabo Bryson'],0.684,334933,0.359,0,R&B;,0,3,0.233,-12.867,0,38,6/4/1991,Can You Stop the Rain,0.0368,119.942,0.144,1991
0.21,35338,['Peabo Bryson'],0.691,334773,0.428,0,R&B;,0,3,0.264,-9.722,0,33,1991,Can You Stop the Rain,0.0356,119.86,0.101,1991
0.652,333447,['Phyllis Hyman'],0.685,404333,0.287,0,R&B;,1.03E-06,10,0.133,-14.99,1,27,10/1/1991,Meet Me On The Moon,0.0369,119.695,0.246,1991
0.503,380235,['Rebirth Brass Band'],0.521,347600,0.818,0,R&B;,0.85,10,0.714,-13.057,1,39,3/26/1991,Grazin' In The ***** - Live,0.25,107.238,0.812,1991
0.00955,792839,['Shanice'],0.722,257973,0.842,0,R&B;,8.45E-06,5,0.178,-8.745,0,59,1/1/1991,I Love Your Smile,0.126,93.954,0.751,1991
0.0545,11210,['Tara Kemp'],0.739,284345,0.675,0,R&B;,0.0112,1,0.0632,-9.194,1,34,1991,Hold You Tight,0.0444,100.054,0.643,1991
0.0677,18176,['Teddy Riley'],0.774,257400,0.81,0,R&B;,0.000701,1,0.0269,-7.775,1,41,12/31/1991,Is It Good To You,0.0649,107.709,0.526,1991
0.0291,30928,['Tevin Campbell'],0.506,254280,0.818,0,R&B;,0.000123,4,0.184,-5.051,0,30,1991,Goodbye,0.176,188.807,0.656,1991
0.17,30928,['Tevin Campbell'],0.593,307827,0.479,0,R&B;,9.72E-06,6,0.0732,-13.138,0,48,1991,Alone With You,0.051,155.913,0.652,1991
0.0233,30928,['Tevin Campbell'],0.609,256040,0.551,0,R&B;,0,6,0.234,-7.93,1,44,1991,Tell Me What You Want Me to Do,0.0291,127.956,0.512,1991
0.00335,30928,['Tevin Campbell'],0.79,293053,0.591,0,R&B;,0.00733,7,0.0338,-8.805,1,37,1991,Round and Round - Soul Mix Edit,0.0935,107.197,0.725,1991
0.00312,628684,['The Brand New Heavies'],0.717,253333,0.81,0,R&B;,0.000449,4,0.0654,-10.259,1,36,1/1/1991,Never Stop,0.0692,101.421,0.735,1991
0.846,75171,['The Clovers'],0.664,146560,0.183,0,R&B;,0,5,0.308,-16.25,1,34,1991,Devil or Angel - **** Remaster,0.0362,106.941,0.779,1991
0.757,75171,['The Clovers'],0.613,146000,0.279,0,R&B;,0,1,0.0874,-13.187,1,37,1991,"Hey, Miss Fannie - **** Remaster",0.0432,165.259,0.955,1991
0.755,75171,['The Clovers'],0.719,150067,0.239,0,R&B;,0,3,0.122,-15.223,1,36,1991,One Mint Julep - **** Remaster,0.0419,106.409,0.774,1991
0.572,75171,['The Clovers'],0.738,113200,0.451,0,R&B;,0,7,0.175,-12.949,1,55,8/10/1991,Love ****** No. 9 - Remastered / Single Version,0.146,128.853,0.793,1991
0.225,766893,['The Isley Brothers'],0.638,169333,0.449,0,R&B;,0,0,0.121,-11.391,0,33,1/1/1991,Who's That Lady - Remastered,0.0531,134.993,0.608,1991
0.903,894335,['The Platters'],0.348,172293,0.225,0,R&B;,1.67E-06,3,0.209,-13.889,1,31,1/1/1991,Enchanted,0.0349,78.541,0.286,1991
0.936,894335,['The Platters'],0.337,157760,0.247,0,R&B;,8.77E-05,3,0.545,-11.02,1,45,1/1/1991,Smoke Gets In Your Eyes,0.0299,112.527,0.278,1991
0.936,894335,['The Platters'],0.486,156667,0.231,0,R&B;,0,3,0.125,-12.06,1,53,1/1/1991,Only You (And You Alone),0.0354,80.049,0.303,1991
0.726,894335,['The Platters'],0.473,165400,0.324,0,R&B;,0,9,0.292,-13.663,1,36,1/1/1991,Twilight Time,0.0429,115.189,0.332,1991
0.851,894335,['The Platters'],0.652,159067,0.303,0,R&B;,0,7,0.324,-8.573,1,46,1/1/1991,The Great Pretender,0.0297,114.665,0.706,1991
0.399,502806,['The Rivingtons'],0.563,143173,0.696,0,R&B;,0,11,0.157,-12.653,1,38,1/1/1991,Papa-Oom-Mow-Mow,0.0413,158.893,0.788,1991
0.458,577235,['The Staple Singers'],0.522,157827,0.41,0,R&B;,0,6,0.128,-15.299,1,35,7/9/1991,Will the Circle Be Unbroken,0.0397,78.869,0.766,1991
0.671,577235,['The Staple Singers'],0.726,170867,0.349,0,R&B;,0.000394,10,0.362,-14.084,0,35,7/9/1991,Why? (Am I Treated So Bad),0.0297,100.004,0.683,1991
0.255,577235,['The Staple Singers'],0.643,176933,0.42,0,R&B;,0,4,0.143,-12.93,1,41,7/9/1991,**** In The Water,0.0302,123.712,0.881,1991
0.169,515600,['Thelma Houston'],0.577,340267,0.707,0,R&B;,0.000652,0,0.0786,-10.964,0,33,1/1/1991,Don't Leave Me This Way - Extended Version,0.0449,121.288,0.829,1991
0.0632,515600,['Thelma Houston'],0.532,205400,0.697,0,R&B;,0.341,8,0.258,-11.461,1,29,1/1/1991,Jumpin' **** Flash,0.0393,132.751,0.817,1991
0.122,597309,['Tina Turner'],0.769,223160,0.667,0,R&B;,0.000361,8,0.0373,-8.272,1,43,1/1/1991,I Can't Stand the Rain,0.0796,88.281,0.843,1991
